display  I           wgl_disp.c:248  display_pixel_format             [   0.16382] Swap method: copy
display  I           wgl_disp.c:251  display_pixel_format             [   0.16383] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:257  display_pixel_format             [   0.16384] Depth buffer: 24 bits
display  I           wgl_disp.c:258  display_pixel_format             [   0.16385] Sample buffers: yes
display  I           wgl_disp.c:259  display_pixel_format             [   0.16385] Samples: 2
display  D   display_settings.c:191  debug_display_settings           [   0.16386] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 16161616, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.16389] Score is : 1798
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.16390] -- 
display  I           wgl_disp.c:770  get_available_pixel_formats_ext  [   0.16391] Decoding visual no. 26...
display  I           wgl_disp.c:341  decode_pixel_format_attrib       [   0.16395] Decoding:
display  I           wgl_disp.c:245  display_pixel_format             [   0.16396] Accelarated: yes
display  I           wgl_disp.c:246  display_pixel_format             [   0.16397] Single-buffer: no
display  I           wgl_disp.c:248  display_pixel_format             [   0.16398] Swap method: copy
display  I           wgl_disp.c:251  display_pixel_format             [   0.16399] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:257  display_pixel_format             [   0.16400] Depth buffer: 24 bits
display  I           wgl_disp.c:258  display_pixel_format             [   0.16400] Sample buffers: yes
display  I           wgl_disp.c:259  display_pixel_format             [   0.16401] Samples: 2
